[ 00:28:08.121 -->  00:28:23.309] EE SPEAKER_03
[ 00:28:23.764 -->  00:28:53.380] EF SPEAKER_03
[ 00:28:53.447 -->  00:29:03.353] EG SPEAKER_03
[ 00:29:03.792 -->  00:29:06.239] EH SPEAKER_03
[ 00:29:06.947 -->  00:29:21.527] EI SPEAKER_03
[ 00:29:21.949 -->  00:29:35.483] EJ SPEAKER_03
[ 00:29:35.770 -->  00:29:44.123] EK SPEAKER_03
[ 00:29:44.393 -->  00:29:45.270] EL SPEAKER_03
[ 00:29:45.625 -->  00:29:58.349] EM SPEAKER_03
[ 00:31:14.657 -->  00:31:20.783] EU SPEAKER_03
[ 00:31:20.834 -->  00:31:39.852] EV SPEAKER_03
[ 00:31:40.257 -->  00:31:48.627] EW SPEAKER_03
[ 00:31:48.947 -->  00:32:06.126] EX SPEAKER_03
[ 00:32:06.717 -->  00:32:10.328] EY SPEAKER_03
[ 00:32:10.800 -->  00:32:46.829] EZ SPEAKER_03
[ 00:32:46.964 -->  00:32:58.624] FA SPEAKER_03
[ 00:32:59.012 -->  00:33:05.222] FB SPEAKER_03
[ 00:33:05.307 -->  00:33:17.170] FC SPEAKER_03
[ 00:33:17.355 -->  00:33:25.979] FD SPEAKER_03
[ 00:33:26.316 -->  00:33:31.935] FE SPEAKER_03
[ 00:33:32.172 -->  00:33:42.938] FF SPEAKER_03
[ 00:33:43.174 -->  00:33:49.823] FG SPEAKER_04
[ 00:33:50.025 -->  00:33:51.207] FH SPEAKER_04
[ 00:33:51.308 -->  00:33:56.337] FI SPEAKER_04
[ 00:33:56.624 -->  00:34:10.613] FJ SPEAKER_04
[ 00:34:11.018 -->  00:34:17.076] FK SPEAKER_04
[ 00:34:17.262 -->  00:34:21.683] FL SPEAKER_04
[ 00:34:21.835 -->  00:34:48.160] FM SPEAKER_04
[ 00:34:48.447 -->  00:36:16.534] FN SPEAKER_04
[ 00:36:16.754 -->  00:36:28.313] FP SPEAKER_04
[ 00:36:28.330 -->  00:36:41.020] FQ SPEAKER_04
[ 00:36:41.374 -->  00:36:52.039] FR SPEAKER_04
[ 00:36:52.259 -->  00:36:57.372] FS SPEAKER_04
[ 00:36:57.794 -->  00:37:01.067] FT SPEAKER_04
[ 00:37:01.185 -->  00:37:16.154] FU SPEAKER_04
[ 00:37:58.324 -->  00:38:07.740] FX SPEAKER_04
[ 00:38:07.960 -->  00:38:28.632] FY SPEAKER_04
[ 00:38:28.969 -->  00:38:34.454] FZ SPEAKER_04
[ 00:38:35.348 -->  00:39:14.582] GA SPEAKER_04
[ 00:39:14.987 -->  00:39:50.594] GB SPEAKER_04
[ 00:39:51.134 -->  00:40:30.098] GC SPEAKER_04
[ 00:40:30.334 -->  00:40:32.663] GD SPEAKER_04
[ 00:42:22.249 -->  00:42:26.856] GK SPEAKER_04
[ 00:42:27.109 -->  00:42:43.208] GL SPEAKER_04
[ 00:42:44.423 -->  00:43:00.623] GM SPEAKER_04
[ 00:43:00.960 -->  00:43:06.647] GN SPEAKER_04
[ 00:43:06.867 -->  00:43:19.253] GO SPEAKER_04
[ 00:43:19.371 -->  00:43:23.050] GP SPEAKER_04
[ 00:43:37.039 -->  00:43:53.020] GR SPEAKER_03
[ 00:43:53.695 -->  00:44:12.105] GS SPEAKER_03
[ 00:44:12.359 -->  00:44:18.265] GT SPEAKER_03
[ 00:44:18.484 -->  00:44:20.627] GU SPEAKER_03
[ 00:44:21.252 -->  00:45:01.499] GV SPEAKER_03
[ 00:45:01.904 -->  00:45:05.346] GW SPEAKER_03
[ 00:45:05.447 -->  00:45:06.392] GX SPEAKER_03
[ 00:45:06.477 -->  00:45:13.412] GY SPEAKER_03
[ 00:45:13.969 -->  00:45:16.635] GZ SPEAKER_03
[ 00:45:16.973 -->  00:45:24.060] HA SPEAKER_03
[ 00:45:24.735 -->  00:45:27.807] HB SPEAKER_03
[ 00:45:28.752 -->  00:45:32.616] HC SPEAKER_03
[ 00:45:32.717 -->  00:45:42.488] HD SPEAKER_03
[ 00:45:42.910 -->  00:46:07.615] HE SPEAKER_03
[ 00:46:08.155 -->  00:46:15.023] HF SPEAKER_03
[ 00:46:15.411 -->  00:46:23.241] HG SPEAKER_03
[ 00:46:23.933 -->  00:46:33.197] HH SPEAKER_03
[ 00:46:33.299 -->  00:46:40.032] HI SPEAKER_03
[ 00:46:40.572 -->  00:46:57.244] HJ SPEAKER_03
[ 00:46:57.902 -->  00:47:06.205] HK SPEAKER_03
[ 00:47:06.779 -->  00:47:29.425] HL SPEAKER_03
[ 00:47:29.729 -->  00:47:35.162] HM SPEAKER_03
[ 00:49:07.334 -->  00:49:19.214] HU SPEAKER_03
[ 00:49:19.365 -->  00:49:30.587] HV SPEAKER_03
[ 00:49:30.807 -->  00:49:40.071] HW SPEAKER_03
[ 00:49:40.375 -->  00:49:48.053] HX SPEAKER_03
[ 00:49:48.509 -->  00:50:07.527] HY SPEAKER_03
[ 00:50:08.050 -->  00:50:21.702] HZ SPEAKER_03
[ 00:50:21.837 -->  00:50:44.078] IA SPEAKER_03
[ 00:50:44.230 -->  00:51:14.115] IB SPEAKER_04
[ 00:51:14.318 -->  00:51:32.290] IC SPEAKER_04
[ 00:51:32.560 -->  00:51:37.217] ID SPEAKER_04
[ 00:51:37.724 -->  00:51:41.031] IE SPEAKER_04
[ 00:51:41.824 -->  00:51:50.160] IF SPEAKER_04
[ 00:51:50.852 -->  00:51:59.965] IG SPEAKER_04
[ 00:52:00.572 -->  00:52:02.040] IH SPEAKER_04
[ 00:52:02.715 -->  00:52:16.823] II SPEAKER_04
[ 00:52:16.857 -->  00:52:35.892] IJ SPEAKER_04
[ 00:52:36.195 -->  00:52:50.269] IK SPEAKER_04
[ 00:52:50.387 -->  00:53:07.549] IL SPEAKER_04
[ 00:53:07.634 -->  00:53:10.334] IM SPEAKER_04
[ 00:53:10.705 -->  00:53:12.207] IO SPEAKER_04
[ 00:53:12.392 -->  00:53:18.299] IP SPEAKER_04
[ 00:53:18.704 -->  00:53:43.206] IQ SPEAKER_04
[ 00:53:43.493 -->  00:54:30.794] IR SPEAKER_04
[ 00:54:30.810 -->  00:54:33.359] IS SPEAKER_04
[ 00:55:57.801 -->  00:56:03.049] IZ SPEAKER_04
[ 00:56:03.252 -->  00:56:17.393] JA SPEAKER_04
[ 00:56:17.646 -->  00:56:31.028] JF SPEAKER_04
[ 00:56:31.365 -->  00:56:38.065] JG SPEAKER_04
[ 00:56:38.436 -->  00:56:48.392] JH SPEAKER_04
[ 00:56:48.915 -->  00:56:52.290] JI SPEAKER_04
[ 00:56:52.510 -->  00:57:02.162] JJ SPEAKER_04
[ 00:57:02.331 -->  00:57:03.951] JK SPEAKER_04
[ 00:57:04.170 -->  00:57:47.168] JL SPEAKER_04
[ 00:57:47.421 -->  00:58:13.375] JM SPEAKER_04
[ 00:58:13.527 -->  00:58:20.935] JN SPEAKER_04
[ 00:58:21.576 -->  00:58:26.824] JO SPEAKER_04
[ 00:58:27.280 -->  00:58:41.691] JP SPEAKER_04
[ 00:58:41.387 -->  00:58:48.036] JQ SPEAKER_03
[ 00:58:48.357 -->  00:59:11.830] JR SPEAKER_03
[ 00:59:12.117 -->  00:59:15.559] JS SPEAKER_03
[ 00:59:15.795 -->  00:59:27.389] JT SPEAKER_03
[ 00:59:27.524 -->  00:59:33.244] JU SPEAKER_03
[ 00:59:33.615 -->  00:59:59.367] JV SPEAKER_03
[ 00:59:59.670 -->  01:00:30.889] JW SPEAKER_03
[ 01:02:29.892 -->  01:02:40.759] KI SPEAKER_03
[ 01:02:41.012 -->  01:02:44.202] KJ SPEAKER_03
[ 01:02:44.421 -->  01:02:50.277] KK SPEAKER_03
[ 01:02:50.445 -->  01:02:52.082] KL SPEAKER_03
[ 01:02:52.504 -->  01:03:30.169] KM SPEAKER_03
[ 01:03:30.338 -->  01:04:09.690] KN SPEAKER_03
[ 01:04:10.045 -->  01:04:13.538] KO SPEAKER_03
[ 01:04:14.044 -->  01:04:35.104] KP SPEAKER_03
[ 01:04:35.340 -->  01:04:47.879] KQ SPEAKER_03
[ 01:05:46.975 -->  01:05:48.561] KY SPEAKER_03
[ 01:05:49.472 -->  01:06:02.888] KZ SPEAKER_03
[ 01:06:03.225 -->  01:06:06.128] LA SPEAKER_03
[ 01:06:06.314 -->  01:06:20.168] LB SPEAKER_03
[ 01:06:20.269 -->  01:06:27.677] LC SPEAKER_03
[ 01:06:28.133 -->  01:06:33.921] LD SPEAKER_03
[ 01:06:34.461 -->  01:06:39.439] LE SPEAKER_03
[ 01:06:39.692 -->  01:06:49.142] LF SPEAKER_03
[ 01:06:50.189 -->  01:06:59.807] LG SPEAKER_03
[ 01:07:00.550 -->  01:07:22.200] LH SPEAKER_03
[ 01:07:22.707 -->  01:07:24.749] LI SPEAKER_03
[ 01:07:24.985 -->  01:07:29.474] LJ SPEAKER_03
[ 01:07:29.642 -->  01:07:50.584] LK SPEAKER_03
[ 01:07:51.124 -->  01:07:54.820] LL SPEAKER_03
[ 01:07:54.887 -->  01:07:59.444] LM SPEAKER_03
[ 01:07:59.714 -->  01:08:25.819] LN SPEAKER_03
[ 01:08:26.309 -->  01:08:34.864] LO SPEAKER_03
[ 01:08:35.202 -->  01:08:36.602] LP SPEAKER_03
[ 01:08:36.602 -->  01:08:36.619] LQ SPEAKER_04
[ 01:08:37.041 -->  01:08:37.058] LR SPEAKER_03
[ 01:08:37.058 -->  01:08:37.075] LS SPEAKER_04
[ 01:08:37.075 -->  01:08:37.969] LT SPEAKER_03
[ 01:08:37.969 -->  01:08:45.344] LU SPEAKER_04
[ 01:08:46.221 -->  01:09:09.002] LV SPEAKER_04
[ 01:09:09.222 -->  01:09:11.264] LW SPEAKER_04
[ 01:09:11.955 -->  01:09:25.506] LX SPEAKER_04
[ 01:09:25.607 -->  01:09:38.432] LY SPEAKER_04
[ 01:09:39.141 -->  01:09:50.447] LZ SPEAKER_04
[ 01:09:50.937 -->  01:10:01.669] MA SPEAKER_04
[ 01:10:01.872 -->  01:10:24.839] MB SPEAKER_04
[ 01:10:25.109 -->  01:10:41.899] MC SPEAKER_04
[ 01:11:49.635 -->  01:11:57.027] MJ SPEAKER_04
[ 01:11:57.330 -->  01:12:07.523] MK SPEAKER_04
[ 01:12:08.046 -->  01:12:32.667] ML SPEAKER_04
[ 01:12:32.835 -->  01:13:03.953] MM SPEAKER_04
[ 01:13:04.105 -->  01:13:04.628] MN SPEAKER_04
[ 01:13:04.746 -->  01:13:15.647] MO SPEAKER_04
[ 01:13:15.715 -->  01:13:45.617] MP SPEAKER_04
[ 01:13:45.904 -->  01:14:01.007] MV SPEAKER_04
[ 01:14:01.429 -->  01:14:13.529] MX SPEAKER_04
[ 01:14:13.900 -->  01:14:14.693] MY SPEAKER_04
