[ 00:10:54.139 -->  00:10:54.899] CZ SPEAKER_01
[ 00:10:56.249 -->  00:11:00.180] DA SPEAKER_02
[ 00:11:00.872 -->  00:11:09.141] DB SPEAKER_02
[ 00:11:10.204 -->  00:11:22.101] DC SPEAKER_02
[ 00:11:22.236 -->  00:11:25.392] DD SPEAKER_01
[ 00:11:26.168 -->  00:11:27.569] DE SPEAKER_01
[ 00:11:27.990 -->  00:11:30.792] DF SPEAKER_01
[ 00:11:31.416 -->  00:11:33.441] DG SPEAKER_01
[ 00:11:34.116 -->  00:11:37.947] DH SPEAKER_01
[ 00:11:38.487 -->  00:11:48.814] DI SPEAKER_01
[ 00:11:49.253 -->  00:11:59.294] DJ SPEAKER_01
[ 00:11:59.395 -->  00:12:01.825] DK SPEAKER_01
[ 00:12:02.095 -->  00:12:05.352] DL SPEAKER_01
[ 00:12:05.942 -->  00:12:13.469] DM SPEAKER_02
[ 00:12:13.671 -->  00:12:22.446] DN SPEAKER_02
[ 00:12:22.800 -->  00:12:24.758] DO SPEAKER_02
[ 00:12:25.399 -->  00:12:31.609] DP SPEAKER_02
[ 00:12:31.812 -->  00:12:35.271] DQ SPEAKER_01
[ 00:12:35.895 -->  00:12:43.219] DR SPEAKER_01
[ 00:12:43.658 -->  00:12:52.095] DS SPEAKER_01
[ 00:12:52.534 -->  00:12:53.783] DT SPEAKER_01
[ 00:12:54.610 -->  00:13:02.440] DU SPEAKER_01
[ 00:13:02.625 -->  00:13:05.680] DV SPEAKER_01
[ 00:13:06.186 -->  00:13:10.287] DW SPEAKER_01
[ 00:13:10.439 -->  00:13:28.174] DX SPEAKER_01
[ 00:13:28.613 -->  00:13:39.126] DY SPEAKER_01
[ 00:13:39.464 -->  00:13:41.050] DZ SPEAKER_01
[ 00:13:41.219 -->  00:13:46.095] EA SPEAKER_01
[ 00:13:46.500 -->  00:13:52.103] EB SPEAKER_01
[ 00:13:52.305 -->  00:13:54.719] EC SPEAKER_02
[ 00:13:54.921 -->  00:13:57.807] ED SPEAKER_02
[ 00:13:58.785 -->  00:14:03.612] EE SPEAKER_02
[ 00:14:04.860 -->  00:14:10.379] EF SPEAKER_02
[ 00:14:10.716 -->  00:14:16.977] EG SPEAKER_02
[ 00:14:18.225 -->  00:14:24.959] EH SPEAKER_02
[ 00:14:25.094 -->  00:14:26.865] EI SPEAKER_01
[ 00:14:26.967 -->  00:14:27.017] EJ SPEAKER_01
[ 00:14:27.152 -->  00:14:32.333] EK SPEAKER_01
[ 00:14:32.535 -->  00:14:34.763] EL SPEAKER_01
[ 00:14:35.759 -->  00:14:36.467] EM SPEAKER_01
[ 00:14:37.547 -->  00:14:39.370] EN SPEAKER_01
[ 00:14:39.657 -->  00:14:40.855] EO SPEAKER_01
[ 00:14:41.074 -->  00:14:43.352] EP SPEAKER_01
[ 00:14:44.129 -->  00:14:46.440] EQ SPEAKER_01
[ 00:14:46.761 -->  00:14:47.959] ER SPEAKER_01
[ 00:14:48.617 -->  00:14:51.182] ES SPEAKER_01
[ 00:14:51.385 -->  00:14:52.988] ET SPEAKER_01
[ 00:14:53.680 -->  00:14:56.430] EU SPEAKER_01
[ 00:14:57.038 -->  00:15:01.223] EV SPEAKER_01
[ 00:15:01.594 -->  00:15:03.569] EW SPEAKER_01
[ 00:15:03.974 -->  00:15:06.370] EX SPEAKER_01
[ 00:15:07.281 -->  00:15:11.399] EY SPEAKER_01
[ 00:15:11.550 -->  00:15:16.815] EZ SPEAKER_01
[ 00:15:17.254 -->  00:15:18.722] FA SPEAKER_01
[ 00:15:19.380 -->  00:15:21.810] FB SPEAKER_01
[ 00:15:22.182 -->  00:15:24.662] FC SPEAKER_01
[ 00:15:26.029 -->  00:15:27.700] FD SPEAKER_01
[ 00:15:28.257 -->  00:15:30.282] FE SPEAKER_01
[ 00:15:30.839 -->  00:15:32.357] FF SPEAKER_01
[ 00:15:32.594 -->  00:15:33.522] FG SPEAKER_01
[ 00:15:33.555 -->  00:15:34.281] FH SPEAKER_01
[ 00:15:34.686 -->  00:15:37.589] FI SPEAKER_01
[ 00:15:38.247 -->  00:15:46.971] FJ SPEAKER_01
[ 00:15:47.224 -->  00:15:48.709] FK SPEAKER_02
[ 00:15:49.334 -->  00:15:55.763] FL SPEAKER_02
[ 00:15:56.438 -->  00:16:02.024] FM SPEAKER_02
[ 00:16:02.631 -->  00:16:15.692] FN SPEAKER_02
[ 00:16:16.367 -->  00:16:18.004] FO SPEAKER_02
[ 00:16:18.494 -->  00:16:20.620] FP SPEAKER_01
[ 00:16:20.805 -->  00:16:21.936] FQ SPEAKER_01
[ 00:16:22.645 -->  00:16:25.125] FR SPEAKER_01
[ 00:16:25.885 -->  00:16:30.458] FS SPEAKER_01
[ 00:16:31.049 -->  00:16:36.314] FT SPEAKER_01
[ 00:16:36.870 -->  00:16:38.727] FU SPEAKER_01
[ 00:16:39.267 -->  00:16:45.713] FV SPEAKER_01
[ 00:16:46.219 -->  00:16:50.016] FW SPEAKER_01
[ 00:16:50.708 -->  00:16:54.623] FX SPEAKER_01
[ 00:16:55.450 -->  00:17:02.655] FY SPEAKER_01
[ 00:17:03.162 -->  00:17:08.646] FZ SPEAKER_01
[ 00:17:08.933 -->  00:17:11.110] GA SPEAKER_01
[ 00:17:11.464 -->  00:17:17.168] GB SPEAKER_01
[ 00:17:17.320 -->  00:17:19.682] GC SPEAKER_01
[ 00:17:20.037 -->  00:17:26.061] GD SPEAKER_01
[ 00:17:26.702 -->  00:17:33.047] GE SPEAKER_01
[ 00:17:33.435 -->  00:17:41.215] GF SPEAKER_01
[ 00:17:42.143 -->  00:17:48.690] GG SPEAKER_01
[ 00:17:49.230 -->  00:17:53.264] GH SPEAKER_01
[ 00:17:53.804 -->  00:17:55.542] GI SPEAKER_01
[ 00:17:56.149 -->  00:18:01.971] GJ SPEAKER_01
[ 00:18:02.224 -->  00:18:12.839] GK SPEAKER_02
[ 00:18:14.340 -->  00:18:55.195] GL SPEAKER_02
[ 00:18:55.195 -->  00:19:01.304] GM SPEAKER_01
[ 00:19:01.709 -->  00:19:12.897] GN SPEAKER_01
[ 00:19:13.082 -->  00:19:19.343] GO SPEAKER_01
[ 00:19:19.832 -->  00:19:22.313] GP SPEAKER_01
[ 00:19:22.617 -->  00:19:26.481] GQ SPEAKER_01
[ 00:19:26.970 -->  00:19:32.100] GR SPEAKER_01
[ 00:19:32.657 -->  00:19:38.867] GS SPEAKER_01
