[ 00:12:55.977 -->  00:12:58.424] CX SPEAKER_02
[ 00:12:58.862 -->  00:13:00.195] CY SPEAKER_02
[ 00:13:00.752 -->  00:13:28.022] CZ SPEAKER_02
[ 00:13:28.360 -->  00:13:30.942] DA SPEAKER_02
[ 00:13:31.212 -->  00:13:34.114] DB SPEAKER_02
[ 00:13:34.435 -->  00:13:35.582] DC SPEAKER_02
[ 00:13:35.751 -->  00:13:36.510] DD SPEAKER_02
[ 00:13:36.899 -->  00:13:39.902] DE SPEAKER_02
[ 00:13:40.324 -->  00:13:42.737] DF SPEAKER_02
[ 00:13:43.260 -->  00:13:43.632] DG SPEAKER_02
[ 00:13:44.003 -->  00:13:44.779] DH SPEAKER_02
[ 00:13:45.252 -->  00:13:45.589] DI SPEAKER_02
[ 00:13:45.724 -->  00:13:49.707] DJ SPEAKER_02
[ 00:13:50.112 -->  00:13:51.040] DK SPEAKER_02
[ 00:13:51.428 -->  00:13:55.596] DL SPEAKER_02
[ 00:13:55.967 -->  00:14:13.079] DM SPEAKER_02
[ 00:14:13.315 -->  00:14:15.610] DN SPEAKER_02
[ 00:14:15.998 -->  00:14:19.727] DO SPEAKER_02
[ 00:14:20.655 -->  00:14:42.964] DP SPEAKER_01
[ 00:14:43.909 -->  00:14:46.052] DQ SPEAKER_02
[ 00:14:46.086 -->  00:14:56.414] DR SPEAKER_02
[ 00:14:57.038 -->  00:15:16.191] DS SPEAKER_02
[ 00:15:16.866 -->  00:15:18.959] DT SPEAKER_02
[ 00:15:19.650 -->  00:15:32.779] DU SPEAKER_02
[ 00:15:33.522 -->  00:15:34.332] DV SPEAKER_02
[ 00:15:34.568 -->  00:15:38.601] DW SPEAKER_02
[ 00:15:38.905 -->  00:15:43.950] DX SPEAKER_02
[ 00:15:44.474 -->  00:15:51.156] DY SPEAKER_02
[ 00:15:51.679 -->  00:15:59.982] DZ SPEAKER_02
[ 00:16:00.049 -->  00:16:07.103] EA SPEAKER_02
[ 00:16:07.356 -->  00:16:49.341] EB SPEAKER_01
[ 00:16:50.067 -->  00:17:10.401] EC SPEAKER_01
[ 00:17:11.160 -->  00:17:32.507] ED SPEAKER_01
[ 00:17:32.997 -->  00:17:34.245] EE SPEAKER_02
[ 00:17:34.634 -->  00:17:36.068] EF SPEAKER_02
[ 00:17:36.456 -->  00:17:37.620] EG SPEAKER_02
[ 00:17:38.042 -->  00:17:38.869] EH SPEAKER_02
[ 00:17:39.460 -->  00:17:46.193] EI SPEAKER_02
