[ 00:14:23.423 -->  00:14:26.967] CY SPEAKER_01
[ 00:14:27.287 -->  00:14:28.772] CZ SPEAKER_01
[ 00:14:29.380 -->  00:14:30.915] DA SPEAKER_01
[ 00:14:31.067 -->  00:14:55.114] DB SPEAKER_01
[ 00:14:55.654 -->  00:14:57.494] DC SPEAKER_01
[ 00:14:57.730 -->  00:15:03.045] DD SPEAKER_01
[ 00:15:03.501 -->  00:15:07.770] DE SPEAKER_01
[ 00:15:08.648 -->  00:15:21.692] DF SPEAKER_01
[ 00:15:22.097 -->  00:15:26.232] DG SPEAKER_01
[ 00:15:26.586 -->  00:15:32.830] DH SPEAKER_01
[ 00:15:33.572 -->  00:15:45.233] DI SPEAKER_02
[ 00:15:45.638 -->  00:15:48.625] DJ SPEAKER_02
[ 00:15:49.317 -->  00:16:19.050] DK SPEAKER_02
[ 00:16:19.388 -->  00:16:28.045] DL SPEAKER_01
[ 00:16:28.349 -->  00:16:29.327] DM SPEAKER_01
[ 00:16:29.530 -->  00:16:31.572] DN SPEAKER_01
[ 00:16:32.314 -->  00:16:32.989] DO SPEAKER_01
[ 00:16:33.681 -->  00:16:37.832] DP SPEAKER_01
[ 00:16:37.967 -->  00:16:39.672] DQ SPEAKER_01
[ 00:16:40.397 -->  00:16:41.275] DR SPEAKER_01
[ 00:16:41.393 -->  00:16:44.262] DS SPEAKER_01
[ 00:16:44.903 -->  00:16:54.370] DT SPEAKER_01
[ 00:16:55.079 -->  00:16:57.340] DU SPEAKER_01
[ 00:16:57.610 -->  00:17:16.830] DV SPEAKER_01
[ 00:17:17.219 -->  00:17:21.690] DW SPEAKER_01
[ 00:17:22.534 -->  00:17:23.597] DX SPEAKER_01
[ 00:17:24.104 -->  00:17:26.618] DY SPEAKER_01
[ 00:17:27.057 -->  00:17:27.867] DZ SPEAKER_01
[ 00:17:28.103 -->  00:17:34.904] EA SPEAKER_01
[ 00:17:35.899 -->  00:17:43.155] EB SPEAKER_01
[ 00:17:43.797 -->  00:17:46.952] EC SPEAKER_01
[ 00:17:47.357 -->  00:17:49.754] ED SPEAKER_01
[ 00:17:49.838 -->  00:17:50.142] EE SPEAKER_01
[ 00:17:50.564 -->  00:17:51.998] EF SPEAKER_01
[ 00:17:52.335 -->  00:17:53.888] EG SPEAKER_01
[ 00:17:54.580 -->  00:17:58.934] EH SPEAKER_01
[ 00:17:59.187 -->  00:18:01.364] EI SPEAKER_01
[ 00:18:01.718 -->  00:18:08.400] EJ SPEAKER_01
[ 00:18:08.772 -->  00:18:14.729] EK SPEAKER_01
[ 00:18:15.015 -->  00:18:16.416] EL SPEAKER_01
[ 00:18:17.024 -->  00:18:20.466] EM SPEAKER_01
[ 00:18:21.023 -->  00:18:22.845] EN SPEAKER_01
[ 00:18:23.622 -->  00:18:36.261] EO SPEAKER_01
[ 00:18:36.936 -->  00:18:43.028] EP SPEAKER_01
[ 00:18:43.484 -->  00:18:52.444] EQ SPEAKER_01
[ 00:18:53.423 -->  00:18:55.347] ER SPEAKER_01
[ 00:18:55.853 -->  00:18:59.363] ES SPEAKER_01
[ 00:18:59.835 -->  00:19:01.169] ET SPEAKER_01
[ 00:19:01.692 -->  00:19:08.610] EU SPEAKER_01
[ 00:19:09.083 -->  00:19:38.715] EV SPEAKER_01
[ 00:19:39.627 -->  00:19:45.060] EW SPEAKER_01
[ 00:19:45.465 -->  00:19:46.799] EX SPEAKER_01
[ 00:19:47.811 -->  00:19:57.767] EY SPEAKER_01
[ 00:19:58.611 -->  00:20:01.784] EZ SPEAKER_01
[ 00:20:02.712 -->  00:20:08.652] FA SPEAKER_01
[ 00:20:09.209 -->  00:20:10.052] FB SPEAKER_01
[ 00:20:10.559 -->  00:20:14.406] FC SPEAKER_01
[ 00:20:15.014 -->  00:20:19.620] FD SPEAKER_01
[ 00:20:20.211 -->  00:20:22.709] FE SPEAKER_01
[ 00:20:23.603 -->  00:20:27.805] FF SPEAKER_01
[ 00:20:28.277 -->  00:20:31.669] FG SPEAKER_01
[ 00:20:32.327 -->  00:20:38.740] FH SPEAKER_01
[ 00:20:39.077 -->  00:20:40.849] FI SPEAKER_01
[ 00:20:40.866 -->  00:20:53.910] FJ SPEAKER_01
[ 00:20:53.640 -->  00:21:25.365] FK SPEAKER_02
[ 00:21:08.693 -->  00:21:08.895] FL SPEAKER_01
[ 00:21:25.804 -->  00:21:41.228] FM SPEAKER_02
[ 00:21:41.835 -->  00:21:54.306] FN SPEAKER_02
[ 00:21:54.779 -->  00:22:32.494] FO SPEAKER_01
[ 00:22:32.865 -->  00:22:45.049] FP SPEAKER_01
[ 00:22:45.252 -->  00:23:19.170] FQ SPEAKER_01
[ 00:23:19.457 -->  00:23:19.542] FR SPEAKER_01
[ 00:23:19.643 -->  00:23:41.175] FS SPEAKER_01
[ 00:23:41.530 -->  00:24:05.543] FT SPEAKER_01
[ 00:24:05.931 -->  00:24:21.912] FU SPEAKER_01
[ 00:24:22.367 -->  00:24:25.169] FV SPEAKER_01
[ 00:24:25.540 -->  00:24:30.839] FW SPEAKER_02
[ 00:24:30.434 -->  00:24:34.045] FX SPEAKER_01
[ 00:24:34.399 -->  00:25:01.281] FY SPEAKER_01
[ 00:25:01.652 -->  00:25:04.825] FZ SPEAKER_01
