[ 00:05:54.473 -->  00:05:54.810] DE SPEAKER_02
[ 00:05:55.806 -->  00:05:56.127] DF SPEAKER_02
[ 00:05:57.443 -->  00:05:58.236] DG SPEAKER_01
[ 00:05:58.709 -->  00:06:02.202] DH SPEAKER_01
[ 00:06:02.640 -->  00:06:04.699] DI SPEAKER_01
[ 00:06:04.784 -->  00:06:10.420] DJ SPEAKER_01
[ 00:06:10.690 -->  00:06:19.448] DK SPEAKER_01
[ 00:06:20.393 -->  00:06:37.065] DL SPEAKER_01
[ 00:06:37.268 -->  00:06:41.554] DM SPEAKER_01
[ 00:06:42.094 -->  00:06:43.765] DN SPEAKER_01
[ 00:06:44.136 -->  00:06:48.355] DO SPEAKER_01
[ 00:06:48.692 -->  00:06:52.270] DP SPEAKER_01
[ 00:06:52.877 -->  00:06:55.155] DQ SPEAKER_02
[ 00:06:55.240 -->  00:06:57.434] DR SPEAKER_01
[ 00:06:55.797 -->  00:06:56.691] DS SPEAKER_02
[ 00:06:57.434 -->  00:06:58.294] DT SPEAKER_02
[ 00:06:57.450 -->  00:06:57.839] DU SPEAKER_01
[ 00:06:58.463 -->  00:07:00.083] DV SPEAKER_02
[ 00:07:00.353 -->  00:07:05.685] DW SPEAKER_02
[ 00:07:06.462 -->  00:07:09.145] DX SPEAKER_02
[ 00:07:09.837 -->  00:07:11.220] DY SPEAKER_02
[ 00:07:12.233 -->  00:07:15.591] DZ SPEAKER_02
[ 00:07:16.435 -->  00:07:18.595] EB SPEAKER_02
[ 00:07:18.814 -->  00:07:21.312] EC SPEAKER_02
[ 00:07:21.447 -->  00:07:22.965] ED SPEAKER_02
[ 00:07:23.117 -->  00:07:23.354] EF SPEAKER_02
[ 00:07:23.691 -->  00:07:25.868] EG SPEAKER_02
[ 00:07:26.205 -->  00:07:29.969] EH SPEAKER_02
[ 00:07:29.969 -->  00:07:30.475] EI SPEAKER_01
[ 00:07:30.475 -->  00:07:30.914] EJ SPEAKER_02
[ 00:07:31.386 -->  00:07:40.043] EK SPEAKER_01
[ 00:07:40.650 -->  00:07:42.338] EL SPEAKER_01
[ 00:07:42.692 -->  00:07:52.193] EM SPEAKER_01
[ 00:07:53.003 -->  00:07:53.779] EO SPEAKER_01
[ 00:07:54.150 -->  00:08:04.242] EP SPEAKER_01
[ 00:08:05.524 -->  00:08:06.469] EQ SPEAKER_01
[ 00:08:06.655 -->  00:08:14.805] ER SPEAKER_01
[ 00:08:15.548 -->  00:08:20.172] EU SPEAKER_01
[ 00:08:20.931 -->  00:08:38.464] EV SPEAKER_01
[ 00:08:38.802 -->  00:08:49.669] EY SPEAKER_01
[ 00:08:49.855 -->  00:08:52.268] EZ SPEAKER_01
[ 00:08:52.892 -->  00:08:57.482] FA SPEAKER_01
[ 00:08:58.090 -->  00:09:10.577] FB SPEAKER_01
[ 00:09:10.577 -->  00:09:12.670] FC SPEAKER_02
[ 00:09:13.007 -->  00:09:15.235] FD SPEAKER_02
[ 00:09:15.741 -->  00:09:18.171] FE SPEAKER_02
[ 00:09:18.677 -->  00:09:20.145] FF SPEAKER_02
[ 00:09:20.466 -->  00:09:22.221] FG SPEAKER_02
[ 00:09:22.778 -->  00:09:28.347] FH SPEAKER_02
[ 00:09:29.005 -->  00:09:31.722] FJ SPEAKER_02
[ 00:09:32.211 -->  00:09:35.924] FK SPEAKER_02
[ 00:09:36.109 -->  00:09:41.830] FL SPEAKER_02
[ 00:09:42.252 -->  00:09:44.614] FM SPEAKER_02
[ 00:09:45.002 -->  00:09:53.372] FN SPEAKER_02
[ 00:09:54.165 -->  00:09:57.962] FO SPEAKER_02
[ 00:09:58.620 -->  00:10:00.021] FP SPEAKER_02
[ 00:10:00.308 -->  00:10:01.979] FQ SPEAKER_02
[ 00:10:02.181 -->  00:10:04.139] FR SPEAKER_02
[ 00:10:04.814 -->  00:10:06.383] FS SPEAKER_02
[ 00:10:06.704 -->  00:10:10.686] FT SPEAKER_02
[ 00:10:11.412 -->  00:10:13.774] FU SPEAKER_02
[ 00:10:14.280 -->  00:10:15.360] FV SPEAKER_02
[ 00:10:15.495 -->  00:10:21.182] FW SPEAKER_02
[ 00:10:21.975 -->  00:10:24.507] FX SPEAKER_02
[ 00:10:25.283 -->  00:10:28.219] FY SPEAKER_02
[ 00:10:28.320 -->  00:10:31.122] FZ SPEAKER_02
[ 00:10:31.510 -->  00:10:37.450] GA SPEAKER_02
[ 00:10:37.838 -->  00:10:38.057] GB SPEAKER_02
[ 00:10:38.057 -->  00:10:38.125] GC SPEAKER_01
[ 00:10:38.125 -->  00:10:38.564] GD SPEAKER_02
[ 00:10:38.564 -->  00:10:39.087] GE SPEAKER_01
[ 00:10:40.386 -->  00:10:42.107] GF SPEAKER_01
[ 00:10:42.715 -->  00:10:44.909] GG SPEAKER_01
[ 00:10:45.229 -->  00:10:47.288] GH SPEAKER_01
[ 00:10:47.980 -->  00:10:49.634] GI SPEAKER_01
[ 00:10:50.410 -->  00:10:53.177] GJ SPEAKER_01
[ 00:10:53.667 -->  00:10:56.046] GK SPEAKER_01
[ 00:10:56.856 -->  00:10:59.320] GL SPEAKER_01
[ 00:10:59.759 -->  00:11:05.817] GM SPEAKER_01
[ 00:11:06.492 -->  00:11:07.977] GN SPEAKER_01
[ 00:11:09.023 -->  00:11:13.174] GO SPEAKER_01
[ 00:11:13.782 -->  00:11:20.380] GQ SPEAKER_01
[ 00:11:20.970 -->  00:11:22.877] GR SPEAKER_01
[ 00:11:23.738 -->  00:11:24.329] GS SPEAKER_02
[ 00:11:24.666 -->  00:11:26.151] GT SPEAKER_02
[ 00:11:26.843 -->  00:11:27.889] GU SPEAKER_02
[ 00:11:28.800 -->  00:11:30.083] GV SPEAKER_02
[ 00:11:30.370 -->  00:11:31.399] GW SPEAKER_02
[ 00:11:32.007 -->  00:11:33.812] GX SPEAKER_02
[ 00:11:34.538 -->  00:11:39.263] GY SPEAKER_02
[ 00:11:39.432 -->  00:11:39.550] HB SPEAKER_02
[ 00:11:39.634 -->  00:11:42.638] HC SPEAKER_02
[ 00:11:42.874 -->  00:11:45.186] HD SPEAKER_02
[ 00:11:45.709 -->  00:11:49.050] HE SPEAKER_02
[ 00:11:49.506 -->  00:11:53.995] HF SPEAKER_02
[ 00:11:54.062 -->  00:11:58.484] HG SPEAKER_02
[ 00:11:58.821 -->  00:12:01.875] HH SPEAKER_02
[ 00:12:02.044 -->  00:12:05.335] HJ SPEAKER_02
[ 00:12:05.841 -->  00:12:07.309] HK SPEAKER_02
[ 00:12:07.512 -->  00:12:14.751] HL SPEAKER_02
[ 00:12:15.240 -->  00:12:17.974] HM SPEAKER_02
[ 00:12:18.750 -->  00:12:21.974] HN SPEAKER_02
[ 00:12:22.480 -->  00:12:23.374] HP SPEAKER_02
[ 00:12:23.610 -->  00:12:24.572] HR SPEAKER_02
[ 00:12:24.994 -->  00:12:27.559] HS SPEAKER_02
[ 00:12:27.779 -->  00:12:33.432] HT SPEAKER_02
[ 00:12:33.550 -->  00:12:37.364] HU SPEAKER_02
[ 00:12:38.039 -->  00:12:43.067] HV SPEAKER_02
