[ 00:19:15.411 -->  00:19:20.457] CY SPEAKER_01
[ 00:19:20.727 -->  00:19:27.544] CZ SPEAKER_01
[ 00:19:27.848 -->  00:19:31.442] DA SPEAKER_01
[ 00:19:31.932 -->  00:19:46.697] DB SPEAKER_01
[ 00:19:47.237 -->  00:19:59.151] DC SPEAKER_02
[ 00:19:59.624 -->  00:20:15.300] DD SPEAKER_02
[ 00:20:15.959 -->  00:20:18.574] DE SPEAKER_02
[ 00:20:18.760 -->  00:20:21.527] DF SPEAKER_02
[ 00:20:22.304 -->  00:20:24.615] DG SPEAKER_02
[ 00:20:25.358 -->  00:20:31.416] DH SPEAKER_02
[ 00:20:31.922 -->  00:20:41.389] DI SPEAKER_02
[ 00:20:42.014 -->  00:20:59.395] DJ SPEAKER_01
[ 00:20:59.749 -->  00:21:17.873] DK SPEAKER_01
[ 00:21:18.379 -->  00:21:47.674] DL SPEAKER_01
[ 00:21:48.315 -->  00:21:56.989] DM SPEAKER_01
[ 00:21:57.512 -->  00:22:18.606] DN SPEAKER_01
[ 00:22:19.433 -->  00:22:46.838] DO SPEAKER_01
[ 00:22:47.412 -->  00:22:48.002] DP SPEAKER_01
[ 00:22:48.306 -->  00:22:52.980] DQ SPEAKER_01
[ 00:22:53.504 -->  00:23:22.512] DR SPEAKER_02
[ 00:23:22.967 -->  00:24:07.720] DS SPEAKER_02
[ 00:24:08.057 -->  00:24:18.672] DT SPEAKER_02
[ 00:24:19.178 -->  00:24:22.992] DU SPEAKER_02
[ 00:24:23.245 -->  00:24:26.147] DV SPEAKER_02
[ 00:24:26.586 -->  00:24:29.573] DW SPEAKER_02
[ 00:24:30.029 -->  00:24:39.647] DX SPEAKER_02
[ 00:24:39.884 -->  00:24:42.297] DY SPEAKER_02
[ 00:24:42.415 -->  00:24:50.025] DZ SPEAKER_02
[ 00:24:50.616 -->  00:24:53.755] EA SPEAKER_02
[ 00:24:53.839 -->  00:24:55.949] EB SPEAKER_02
[ 00:24:56.489 -->  00:25:03.897] EC SPEAKER_01
[ 00:25:04.200 -->  00:25:07.272] ED SPEAKER_01
[ 00:25:07.474 -->  00:25:57.694] EE SPEAKER_01
[ 00:25:57.728 -->  00:26:03.128] EF SPEAKER_01
[ 00:26:03.786 -->  00:26:16.122] EG SPEAKER_01
[ 00:26:16.830 -->  00:26:24.458] EH SPEAKER_01
[ 00:26:24.846 -->  00:26:28.238] EI SPEAKER_01
[ 00:26:28.525 -->  00:26:32.271] EJ SPEAKER_01
[ 00:26:32.980 -->  00:26:34.515] EK SPEAKER_01
[ 00:26:35.207 -->  00:26:45.265] EL SPEAKER_01
