[ 00:24:13.052 -->  00:24:26.063] DQ SPEAKER_01
[ 00:24:26.198 -->  00:24:39.749] DR SPEAKER_01
[ 00:24:40.339 -->  00:24:44.963] DS SPEAKER_01
[ 00:24:45.419 -->  00:24:49.637] DT SPEAKER_01
[ 00:24:49.874 -->  00:25:22.155] DU SPEAKER_01
[ 00:25:22.645 -->  00:25:26.492] DV SPEAKER_01
[ 00:26:13.692 -->  00:26:14.805] DX SPEAKER_03
[ 00:26:15.177 -->  00:26:45.366] DY SPEAKER_03
[ 00:26:45.974 -->  00:26:52.268] DZ SPEAKER_03
[ 00:26:52.740 -->  00:27:06.966] EA SPEAKER_03
[ 00:27:07.422 -->  00:27:12.299] EB SPEAKER_03
[ 00:27:12.839 -->  00:27:29.039] EC SPEAKER_03
[ 00:27:29.545 -->  00:27:42.589] ED SPEAKER_03
[ 00:27:42.977 -->  00:27:48.327] EE SPEAKER_03
[ 00:27:48.782 -->  00:27:51.229] EF SPEAKER_03
[ 00:27:51.398 -->  00:27:55.448] EG SPEAKER_03
[ 00:27:55.785 -->  00:27:58.367] EH SPEAKER_03
[ 00:27:58.806 -->  00:27:59.886] EI SPEAKER_03
[ 00:28:00.089 -->  00:28:01.506] EJ SPEAKER_03
[ 00:28:01.995 -->  00:28:08.644] EK SPEAKER_03
[ 00:28:09.100 -->  00:28:28.219] EL SPEAKER_03
[ 00:28:28.388 -->  00:28:37.821] EM SPEAKER_03
[ 00:28:38.310 -->  00:28:40.555] EN SPEAKER_03
[ 00:28:55.422 -->  00:29:29.678] EP SPEAKER_03
[ 00:29:29.999 -->  00:29:31.838] EQ SPEAKER_03
[ 00:29:31.855 -->  00:29:31.872] ER SPEAKER_03
[ 00:29:32.125 -->  00:29:53.809] ES SPEAKER_03
[ 00:29:54.535 -->  00:30:09.520] ET SPEAKER_03
[ 00:30:10.245 -->  00:30:12.945] EU SPEAKER_03
[ 00:30:13.199 -->  00:30:24.606] EV SPEAKER_03
[ 00:30:24.960 -->  00:30:55.352] EW SPEAKER_03
[ 00:30:55.504 -->  00:30:55.859] EY SPEAKER_03
[ 00:30:56.449 -->  00:31:27.330] EZ SPEAKER_03
[ 00:31:27.685 -->  00:31:41.455] FA SPEAKER_03
[ 00:31:41.995 -->  00:31:42.990] FB SPEAKER_03
[ 00:31:43.514 -->  00:31:52.289] FC SPEAKER_03
[ 00:31:52.980 -->  00:31:57.959] FD SPEAKER_03
[ 00:31:58.515 -->  00:32:00.625] FE SPEAKER_03
[ 00:32:00.945 -->  00:32:01.671] FF SPEAKER_03
[ 00:32:02.009 -->  00:32:06.075] FG SPEAKER_03
[ 00:32:06.447 -->  00:32:13.230] FH SPEAKER_03
[ 00:32:13.703 -->  00:32:18.327] FI SPEAKER_03
[ 00:32:18.884 -->  00:32:21.887] FJ SPEAKER_03
[ 00:32:22.545 -->  00:32:25.785] FK SPEAKER_03
[ 00:32:26.022 -->  00:32:29.565] FL SPEAKER_03
[ 00:32:30.055 -->  00:32:51.925] FM SPEAKER_03
[ 00:32:52.549 -->  00:32:53.089] FN SPEAKER_03
[ 00:32:53.444 -->  00:32:55.485] FO SPEAKER_03
[ 00:32:55.587 -->  00:32:57.190] FP SPEAKER_03
[ 00:32:57.747 -->  00:33:01.409] FQ SPEAKER_03
[ 00:33:02.084 -->  00:33:03.197] FR SPEAKER_03
[ 00:33:03.366 -->  00:33:12.344] FS SPEAKER_03
[ 00:33:13.002 -->  00:33:16.680] FT SPEAKER_03
[ 00:33:16.866 -->  00:33:30.062] FU SPEAKER_03
[ 00:33:30.147 -->  00:33:52.034] FV SPEAKER_03
[ 00:33:52.405 -->  00:33:53.974] FW SPEAKER_03
[ 00:33:54.413 -->  00:33:55.797] FX SPEAKER_03
[ 00:33:56.117 -->  00:33:59.830] FY SPEAKER_03
[ 00:34:00.572 -->  00:34:01.028] FZ SPEAKER_03
[ 00:34:01.112 -->  00:34:01.146] GB SPEAKER_03
[ 00:34:01.214 -->  00:34:01.905] GD SPEAKER_03
[ 00:34:10.242 -->  00:34:12.520] GF SPEAKER_01
[ 00:34:13.431 -->  00:34:32.044] GG SPEAKER_01
[ 00:34:32.500 -->  00:34:47.856] GH SPEAKER_01
[ 00:34:48.295 -->  00:34:58.740] GI SPEAKER_03
[ 00:34:59.179 -->  00:35:13.860] GJ SPEAKER_03
[ 00:35:14.029 -->  00:35:17.033] GK SPEAKER_03
[ 00:35:27.833 -->  00:35:28.221] GM SPEAKER_03
[ 00:35:31.377 -->  00:36:07.844] GN SPEAKER_03
[ 00:36:08.114 -->  00:36:08.637] GO SPEAKER_03
[ 00:36:08.974 -->  00:36:13.125] GP SPEAKER_03
[ 00:37:06.990 -->  00:37:44.470] GR SPEAKER_01
[ 00:37:45.094 -->  00:37:52.553] GS SPEAKER_01
[ 00:37:52.907 -->  00:37:55.185] GT SPEAKER_01
[ 00:37:55.472 -->  00:38:01.311] GU SPEAKER_01
[ 00:38:01.817 -->  00:38:13.647] GV SPEAKER_01
[ 00:38:14.204 -->  00:38:23.063] GW SPEAKER_01
[ 00:38:23.417 -->  00:38:26.050] GX SPEAKER_03
[ 00:38:26.269 -->  00:39:04.339] GY SPEAKER_03
[ 00:39:04.879 -->  00:39:06.060] GZ SPEAKER_03
[ 00:39:06.415 -->  00:39:13.249] HA SPEAKER_03
[ 00:39:13.688 -->  00:39:16.287] HB SPEAKER_03
[ 00:39:16.506 -->  00:39:22.632] HC SPEAKER_03
[ 00:39:22.952 -->  00:39:25.247] HD SPEAKER_03
[ 00:39:25.315 -->  00:40:02.845] HE SPEAKER_03
[ 00:40:02.929 -->  00:40:09.848] HF SPEAKER_03
[ 00:40:10.050 -->  00:40:41.505] HG SPEAKER_03
[ 00:40:41.927 -->  00:41:10.193] HH SPEAKER_03
[ 00:41:10.598 -->  00:41:19.052] HJ SPEAKER_03
[ 00:41:19.187 -->  00:41:29.886] HK SPEAKER_03
[ 00:41:30.072 -->  00:41:46.390] HM SPEAKER_03
[ 00:42:40.069 -->  00:42:50.160] HQ SPEAKER_03
[ 00:42:50.397 -->  00:42:56.370] HR SPEAKER_03
[ 00:42:56.995 -->  00:42:57.855] HS SPEAKER_03
[ 00:42:57.990 -->  00:43:08.790] HT SPEAKER_03
[ 00:43:09.212 -->  00:43:16.941] HU SPEAKER_03
[ 00:43:17.211 -->  00:43:18.713] HV SPEAKER_03
[ 00:43:19.185 -->  00:43:22.139] HW SPEAKER_03
[ 00:43:22.442 -->  00:43:42.186] HX SPEAKER_03
[ 00:43:42.929 -->  00:43:59.787] HY SPEAKER_03
[ 00:44:00.090 -->  00:44:18.670] HZ SPEAKER_03
[ 00:44:18.805 -->  00:45:32.549] IA SPEAKER_03
[ 00:45:32.650 -->  00:46:17.909] IB SPEAKER_03
[ 00:46:18.010 -->  00:46:24.591] IC SPEAKER_03
[ 00:46:24.827 -->  00:46:27.224] ID SPEAKER_03
[ 00:46:27.477 -->  00:46:39.036] IE SPEAKER_03
[ 00:47:03.150 -->  00:47:19.215] IH SPEAKER_01
[ 00:47:19.570 -->  00:47:34.285] II SPEAKER_01
[ 00:47:34.673 -->  00:47:51.160] IJ SPEAKER_01
[ 00:47:51.666 -->  00:47:56.189] IK SPEAKER_01
[ 00:47:56.442 -->  00:48:23.661] IL SPEAKER_01
[ 00:48:23.999 -->  00:48:48.248] IM SPEAKER_01
[ 00:48:48.704 -->  00:49:09.156] IN SPEAKER_01
[ 00:49:09.510 -->  00:49:59.359] IO SPEAKER_01
[ 00:49:59.882 -->  00:50:05.805] IP SPEAKER_01
[ 00:50:06.210 -->  00:50:47.436] IQ SPEAKER_01
[ 00:50:47.858 -->  00:50:50.069] IR SPEAKER_01
[ 00:50:50.609 -->  00:51:03.197] IS SPEAKER_01
[ 00:51:03.501 -->  00:51:04.007] IT SPEAKER_01
[ 00:51:04.564 -->  00:51:08.783] IU SPEAKER_01
[ 00:51:09.424 -->  00:51:58.041] IV SPEAKER_01
[ 00:52:19.304 -->  00:52:26.594] IY SPEAKER_03
[ 00:52:27.134 -->  00:53:18.299] IZ SPEAKER_03
[ 00:53:18.771 -->  00:53:28.356] JA SPEAKER_03
[ 00:53:28.761 -->  00:53:53.820] JB SPEAKER_03
[ 00:53:53.905 -->  00:54:10.139] JC SPEAKER_03
[ 00:54:10.628 -->  00:54:24.668] JD SPEAKER_03
[ 00:54:25.394 -->  00:54:41.864] JE SPEAKER_03
[ 00:54:42.319 -->  00:55:03.750] JF SPEAKER_03
[ 00:55:04.004 -->  00:55:14.567] JG SPEAKER_03
[ 00:55:15.040 -->  00:56:38.689] JH SPEAKER_03
[ 00:56:39.111 -->  00:56:41.609] JI SPEAKER_03
[ 00:56:41.879 -->  00:56:57.910] JJ SPEAKER_03
[ 00:56:58.163 -->  00:57:11.798] JK SPEAKER_03
[ 00:57:12.017 -->  00:57:27.255] JL SPEAKER_03
[ 00:57:27.374 -->  00:57:28.977] JN SPEAKER_03
[ 00:57:29.399 -->  00:58:20.243] JO SPEAKER_03
[ 00:58:20.867 -->  00:59:05.822] JP SPEAKER_03
[ 00:59:06.261 -->  00:59:12.201] JQ SPEAKER_03
[ 00:59:12.404 -->  00:59:36.771] JR SPEAKER_03
[ 00:59:37.514 -->  00:59:40.686] JS SPEAKER_03
[ 00:59:40.922 -->  00:59:53.275] JT SPEAKER_03
[ 00:59:53.562 -->  00:59:58.962] JU SPEAKER_03
[ 01:00:45.537 -->  01:01:02.260] JW SPEAKER_03
[ 01:01:02.665 -->  01:01:32.399] JX SPEAKER_03
[ 01:01:33.124 -->  01:01:35.841] JY SPEAKER_03
[ 01:01:36.347 -->  01:01:50.337] JZ SPEAKER_03
[ 01:01:50.657 -->  01:01:56.867] KA SPEAKER_03
[ 01:01:56.901 -->  01:01:58.589] KB SPEAKER_03
[ 01:01:58.825 -->  01:02:14.822] KC SPEAKER_03
[ 01:02:15.497 -->  01:02:27.107] KD SPEAKER_03
[ 01:02:27.411 -->  01:02:38.515] KE SPEAKER_03
[ 01:02:38.819 -->  01:02:41.738] KF SPEAKER_03
[ 01:02:41.907 -->  01:02:43.037] KG SPEAKER_03
[ 01:02:43.459 -->  01:02:50.564] KH SPEAKER_03
[ 01:02:50.901 -->  01:02:59.069] KI SPEAKER_03
[ 01:02:59.372 -->  01:03:10.122] KJ SPEAKER_03
[ 01:03:10.476 -->  01:03:24.550] KK SPEAKER_03
[ 01:03:24.567 -->  01:03:26.170] KL SPEAKER_03
[ 01:03:26.659 -->  01:03:45.137] KM SPEAKER_03
[ 01:03:45.171 -->  01:03:48.580] KN SPEAKER_03
[ 01:03:48.732 -->  01:03:52.225] KO SPEAKER_03
[ 01:03:52.782 -->  01:03:55.769] KP SPEAKER_03
[ 01:03:56.427 -->  01:04:17.655] KQ SPEAKER_03
[ 01:04:53.819 -->  01:05:01.176] KT SPEAKER_03
[ 01:05:01.463 -->  01:05:10.913] KU SPEAKER_03
[ 01:05:11.807 -->  01:05:24.025] KV SPEAKER_03
[ 01:05:24.362 -->  01:05:27.636] KW SPEAKER_03
[ 01:05:28.058 -->  01:05:49.320] KX SPEAKER_03
[ 01:05:49.979 -->  01:06:00.374] KY SPEAKER_03
[ 01:06:13.907 -->  01:06:16.050] LD SPEAKER_01
[ 01:06:16.827 -->  01:06:22.733] LE SPEAKER_01
[ 01:06:22.834 -->  01:06:42.072] LF SPEAKER_01
[ 01:06:42.561 -->  01:06:44.789] LG SPEAKER_01
[ 01:06:45.413 -->  01:06:54.053] LH SPEAKER_01
[ 01:06:54.475 -->  01:07:17.374] LI SPEAKER_01
[ 01:07:17.610 -->  01:07:19.079] LJ SPEAKER_01
[ 01:07:19.517 -->  01:07:44.577] LK SPEAKER_03
[ 01:07:44.864 -->  01:07:59.190] LL SPEAKER_03
[ 01:07:59.292 -->  01:08:25.836] LM SPEAKER_03
[ 01:08:26.022 -->  01:09:02.134] LO SPEAKER_03
[ 01:09:02.303 -->  01:09:20.950] LP SPEAKER_03
[ 01:09:21.034 -->  01:09:40.035] LQ SPEAKER_03
[ 01:09:50.599 -->  01:09:51.764] LU SPEAKER_01
