[ 00:35:33.250 -->  00:35:42.109] EK SPEAKER_02
[ 00:35:42.531 -->  00:35:48.150] EL SPEAKER_02
[ 00:35:48.454 -->  00:35:50.496] EM SPEAKER_02
[ 00:35:50.800 -->  00:35:53.432] EN SPEAKER_02
[ 00:35:53.753 -->  00:35:56.925] EO SPEAKER_02
[ 00:35:57.297 -->  00:36:20.162] EP SPEAKER_02
[ 00:36:20.618 -->  00:36:25.613] EQ SPEAKER_02
[ 00:36:26.355 -->  00:36:48.968] ER SPEAKER_02
[ 00:36:49.221 -->  00:36:53.389] ES SPEAKER_02
[ 00:36:53.693 -->  00:36:58.165] ET SPEAKER_02
[ 00:36:58.519 -->  00:37:06.518] EU SPEAKER_02
[ 00:37:48.081 -->  00:38:28.952] EY SPEAKER_04
[ 00:38:29.357 -->  00:38:43.296] EZ SPEAKER_04
[ 00:38:43.937 -->  00:39:37.060] FA SPEAKER_04
[ 00:39:37.684 -->  00:39:39.220] FB SPEAKER_04
[ 00:39:39.524 -->  00:39:43.506] FC SPEAKER_04
[ 00:39:43.962 -->  00:40:26.099] FD SPEAKER_04
[ 00:40:26.942 -->  00:40:41.657] FE SPEAKER_04
[ 00:40:41.775 -->  00:40:58.009] FF SPEAKER_02
[ 00:40:58.380 -->  00:41:00.794] FG SPEAKER_02
[ 00:41:01.131 -->  00:41:03.899] FH SPEAKER_02
[ 00:41:04.202 -->  00:41:06.396] FI SPEAKER_02
[ 00:41:06.582 -->  00:41:22.461] FJ SPEAKER_02
[ 00:41:50.035 -->  00:42:54.582] FQ SPEAKER_04
[ 00:42:55.341 -->  00:43:10.174] FR SPEAKER_04
[ 00:43:10.849 -->  00:43:20.417] FS SPEAKER_04
[ 00:43:20.451 -->  00:43:40.971] FT SPEAKER_04
[ 00:43:52.446 -->  00:43:52.598] GA SPEAKER_02
[ 00:43:52.665 -->  00:43:52.986] GC SPEAKER_02
[ 00:44:09.085 -->  00:44:48.944] GF SPEAKER_04
[ 00:44:49.467 -->  00:45:04.469] GG SPEAKER_04
[ 00:45:05.042 -->  00:45:50.166] GH SPEAKER_04
[ 00:46:04.054 -->  00:47:19.502] GK SPEAKER_04
[ 00:47:19.502 -->  00:47:35.095] GL SPEAKER_02
[ 00:47:35.129 -->  00:47:39.634] GM SPEAKER_02
[ 00:47:39.904 -->  00:47:45.017] GN SPEAKER_02
[ 00:48:07.967 -->  00:48:16.219] GS SPEAKER_02
[ 00:48:16.658 -->  00:48:26.530] GT SPEAKER_02
[ 00:48:27.019 -->  00:48:28.892] GU SPEAKER_02
[ 00:48:29.382 -->  00:48:46.341] GV SPEAKER_02
[ 00:48:46.915 -->  00:48:48.332] GW SPEAKER_02
[ 00:48:48.704 -->  00:49:00.330] GX SPEAKER_02
[ 00:49:00.584 -->  00:49:09.089] GY SPEAKER_02
[ 00:49:09.527 -->  00:49:19.095] GZ SPEAKER_02
[ 00:49:19.281 -->  00:49:44.121] HA SPEAKER_02
[ 00:49:44.324 -->  00:49:49.082] HB SPEAKER_02
[ 00:50:07.476 -->  00:51:09.863] HE SPEAKER_04
[ 00:51:10.082 -->  00:51:14.082] HG SPEAKER_02
[ 00:51:14.487 -->  00:51:40.474] HH SPEAKER_02
[ 00:51:40.609 -->  00:51:53.468] HI SPEAKER_02
[ 00:51:53.704 -->  00:51:57.349] HJ SPEAKER_02
[ 00:51:57.754 -->  00:52:00.150] HK SPEAKER_02
[ 00:52:10.714 -->  00:52:38.507] HN SPEAKER_04
[ 00:52:38.710 -->  00:53:05.625] HO SPEAKER_04
[ 00:53:05.777 -->  00:53:33.300] HP SPEAKER_02
[ 00:53:53.399 -->  00:54:12.434] HS SPEAKER_04
[ 00:54:13.328 -->  00:55:03.126] HT SPEAKER_04
[ 00:55:15.276 -->  00:55:17.217] HV SPEAKER_02
